po_id,supplier_id,supplier_name,supplier_tier,category,po_date,promised_date,receipt_date,ordered_qty,received_qty,defect_qty,contract_unit_price,invoice_unit_price,contract_compliant,invoice_id
PO-0071,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-02-01,2025-02-15,2025-02-16,250,250,0,55.01,57.16,False,INV-0071
PO-0072,SUP-004,Vertex Packaging,Preferred,Packaging,2025-03-06,2025-03-13,2025-03-11,300,240,0,58.54,61.6,True,INV-0072
PO-0073,SUP-005,Cobalt Supply Co.,Approved,MRO,2025-02-16,2025-03-04,2025-03-05,200,200,0,84.49,86.63,False,INV-0073
PO-0074,SUP-002,Meridian Industrial,Strategic,Packaging,2025-06-27,2025-07-11,2025-07-12,250,225,0,49.9,48.61,True,INV-0074
PO-0075,SUP-004,Vertex Packaging,Preferred,Electronics,2025-08-11,2025-08-26,2025-08-24,500,500,0,240.89,255.25,True,INV-0075
PO-0076,SUP-001,Northstar Components,Strategic,Mechanical,2025-05-21,2025-05-30,2025-05-31,200,160,0,164.5,158.68,True,INV-0076
PO-0077,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-05-22,2025-05-29,2025-05-27,200,200,0,181.24,200.46,False,INV-0077
PO-0078,SUP-002,Meridian Industrial,Strategic,MRO,2025-03-16,2025-03-31,2025-04-01,500,475,0,93.16,93.07,True,INV-0078
PO-0079,SUP-005,Cobalt Supply Co.,Approved,Mechanical,2025-03-12,2025-03-31,2025-04-07,100,100,0,179.33,186.73,True,INV-0079
PO-0080,SUP-003,Atlas Materials,Preferred,MRO,2025-04-25,2025-05-10,2025-05-10,150,135,0,89.47,91.29,True,INV-0080
PO-0081,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-04-09,2025-04-19,2025-04-26,300,300,0,159.0,164.67,True,INV-0081
PO-0082,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-01-10,2025-01-19,2025-01-19,250,250,0,177.35,182.75,True,INV-0082
PO-0083,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-08-11,2025-08-28,2025-08-30,250,238,0,174.29,174.71,True,INV-0083
PO-0084,SUP-001,Northstar Components,Strategic,Packaging,2025-08-08,2025-08-23,2025-08-23,500,400,0,57.41,62.09,False,INV-0084
PO-0085,SUP-001,Northstar Components,Strategic,Mechanical,2025-06-25,2025-07-06,2025-07-08,500,475,0,180.79,195.55,True,INV-0085
PO-0086,SUP-002,Meridian Industrial,Strategic,Packaging,2025-01-12,2025-01-24,2025-01-24,100,100,0,53.62,52.72,True,INV-0086
PO-0087,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-01-21,2025-02-06,2025-02-05,150,142,0,178.62,175.57,True,INV-0087
PO-0088,SUP-003,Atlas Materials,Preferred,Electronics,2025-08-19,2025-08-30,2025-08-29,250,250,0,237.2,240.83,True,INV-0088
PO-0089,SUP-004,Vertex Packaging,Preferred,Packaging,2025-08-05,2025-08-16,2025-08-17,250,238,0,50.67,51.73,True,INV-0089
PO-0090,SUP-006,Pioneer Logistics,Approved,Packaging,2025-08-01,2025-08-18,2025-08-16,100,90,0,59.02,64.01,True,INV-0090
PO-0091,SUP-006,Pioneer Logistics,Approved,MRO,2025-07-18,2025-08-06,2025-08-06,200,200,0,87.32,92.5,True,INV-0091
PO-0092,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-01-25,2025-02-11,2025-02-11,500,475,0,149.6,152.35,True,INV-0092
PO-0093,SUP-003,Atlas Materials,Preferred,MRO,2025-02-21,2025-03-02,2025-03-02,150,135,0,85.03,85.34,True,INV-0093
PO-0094,SUP-004,Vertex Packaging,Preferred,Packaging,2025-08-11,2025-08-23,2025-08-24,500,500,0,51.05,56.9,True,INV-0094
PO-0095,SUP-004,Vertex Packaging,Preferred,Packaging,2025-07-22,2025-08-04,2025-08-02,100,95,0,53.55,57.83,True,INV-0095
PO-0096,SUP-006,Pioneer Logistics,Approved,Packaging,2025-06-22,2025-07-02,2025-07-02,100,90,0,51.94,50.39,True,INV-0096
PO-0097,SUP-003,Atlas Materials,Preferred,MRO,2025-02-05,2025-02-12,2025-02-17,100,95,0,78.47,78.28,True,INV-0097
PO-0098,SUP-003,Atlas Materials,Preferred,MRO,2025-07-10,2025-07-28,2025-07-29,300,240,0,78.18,81.17,True,INV-0098
PO-0099,SUP-001,Northstar Components,Strategic,Packaging,2025-04-24,2025-05-08,2025-05-08,150,150,0,60.29,61.42,True,INV-0099
PO-0100,SUP-001,Northstar Components,Strategic,MRO,2025-02-18,2025-02-26,2025-02-27,200,200,0,87.77,93.27,False,INV-0100
PO-0101,SUP-003,Atlas Materials,Preferred,Mechanical,2025-07-21,2025-08-06,2025-08-05,150,135,0,155.63,171.06,True,INV-0101
PO-0102,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-08-08,2025-08-17,2025-08-26,200,200,0,254.33,248.63,True,INV-0102
PO-0103,SUP-003,Atlas Materials,Preferred,Mechanical,2025-03-24,2025-03-31,2025-03-29,300,300,0,172.98,180.62,True,INV-0103
PO-0104,SUP-003,Atlas Materials,Preferred,Electronics,2025-05-09,2025-05-19,2025-05-20,250,200,0,253.59,278.62,True,INV-0104
PO-0105,SUP-001,Northstar Components,Strategic,Electronics,2025-08-05,2025-08-18,2025-08-16,250,238,0,250.2,257.95,True,INV-0105
PO-0106,SUP-002,Meridian Industrial,Strategic,Electronics,2025-03-12,2025-03-28,2025-03-28,150,142,0,263.74,275.58,True,INV-0106
PO-0107,SUP-001,Northstar Components,Strategic,Electronics,2025-06-16,2025-07-05,2025-07-04,500,475,0,237.67,236.85,True,INV-0107
PO-0108,SUP-004,Vertex Packaging,Preferred,Electronics,2025-04-20,2025-05-02,2025-05-02,200,200,0,248.97,257.9,True,INV-0108
PO-0109,SUP-004,Vertex Packaging,Preferred,Electronics,2025-07-09,2025-07-21,2025-07-19,500,450,0,261.92,274.98,True,INV-0109
PO-0110,SUP-006,Pioneer Logistics,Approved,MRO,2025-01-14,2025-01-25,2025-01-25,500,500,0,86.32,85.81,True,INV-0110
PO-0111,SUP-001,Northstar Components,Strategic,Packaging,2025-04-05,2025-04-13,2025-04-12,300,285,0,58.8,65.62,True,INV-0111
PO-0112,SUP-006,Pioneer Logistics,Approved,Electronics,2025-08-26,2025-09-12,2025-09-12,300,300,0,224.66,240.93,True,INV-0112
PO-0113,SUP-001,Northstar Components,Strategic,Mechanical,2025-05-25,2025-06-11,2025-06-10,150,120,0,169.39,163.45,True,INV-0113
PO-0114,SUP-004,Vertex Packaging,Preferred,MRO,2025-02-10,2025-02-22,2025-02-22,200,180,0,86.64,95.42,True,INV-0114
PO-0115,SUP-001,Northstar Components,Strategic,Electronics,2025-04-24,2025-05-11,2025-05-12,200,190,0,229.11,247.62,True,INV-0115
PO-0116,SUP-003,Atlas Materials,Preferred,MRO,2025-06-20,2025-07-01,2025-07-02,300,270,0,77.43,76.87,True,INV-0116
PO-0117,SUP-003,Atlas Materials,Preferred,Packaging,2025-01-31,2025-02-07,2025-02-08,200,200,0,50.92,53.22,True,INV-0117
PO-0118,SUP-006,Pioneer Logistics,Approved,Packaging,2025-04-12,2025-04-30,2025-04-28,100,95,0,59.63,65.47,True,INV-0118
PO-0119,SUP-006,Pioneer Logistics,Approved,MRO,2025-01-30,2025-02-12,2025-02-12,200,200,0,90.12,95.43,True,INV-0119
PO-0120,SUP-001,Northstar Components,Strategic,MRO,2025-03-04,2025-03-17,2025-03-15,100,95,0,91.3,98.54,True,INV-0120
PO-0121,SUP-001,Northstar Components,Strategic,Electronics,2025-05-11,2025-05-21,2025-05-21,300,300,0,250.91,273.75,True,INV-0121
PO-0122,SUP-002,Meridian Industrial,Strategic,Packaging,2025-02-14,2025-03-02,2025-02-28,150,150,0,59.96,63.59,True,INV-0122
PO-0123,SUP-005,Cobalt Supply Co.,Approved,MRO,2025-08-25,2025-09-10,2025-09-10,500,400,0,81.87,84.36,True,INV-0123
PO-0124,SUP-003,Atlas Materials,Preferred,Electronics,2025-05-10,2025-05-18,2025-05-19,200,200,0,218.73,239.09,True,INV-0124
PO-0125,SUP-001,Northstar Components,Strategic,MRO,2025-05-29,2025-06-13,2025-06-11,250,238,0,91.95,96.68,True,INV-0125
PO-0126,SUP-005,Cobalt Supply Co.,Approved,Mechanical,2025-04-26,2025-05-04,2025-05-10,100,80,5,151.28,160.87,True,INV-0126
PO-0127,SUP-005,Cobalt Supply Co.,Approved,Mechanical,2025-04-06,2025-04-17,2025-04-17,200,160,0,168.23,182.74,False,INV-0127
PO-0128,SUP-001,Northstar Components,Strategic,MRO,2025-03-06,2025-03-24,2025-03-23,200,200,0,77.89,83.04,True,INV-0128
PO-0129,SUP-006,Pioneer Logistics,Approved,MRO,2025-06-02,2025-06-20,2025-06-25,150,135,0,82.9,90.08,True,INV-0129
PO-0130,SUP-006,Pioneer Logistics,Approved,Electronics,2025-06-21,2025-07-04,2025-07-02,500,500,0,230.83,256.73,True,INV-0130
PO-0131,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-02-09,2025-02-17,2025-02-15,150,135,0,173.94,190.22,False,INV-0131
PO-0132,SUP-003,Atlas Materials,Preferred,Mechanical,2025-04-07,2025-04-16,2025-04-15,300,240,0,162.94,167.13,True,INV-0132
PO-0133,SUP-004,Vertex Packaging,Preferred,Packaging,2025-07-20,2025-08-03,2025-08-02,500,500,0,60.12,65.26,True,INV-0133
PO-0134,SUP-006,Pioneer Logistics,Approved,MRO,2025-07-16,2025-07-27,2025-07-28,250,250,0,90.39,98.36,True,INV-0134
PO-0135,SUP-006,Pioneer Logistics,Approved,MRO,2025-05-22,2025-05-30,2025-05-28,200,200,0,77.93,76.81,True,INV-0135
PO-0136,SUP-004,Vertex Packaging,Preferred,Electronics,2025-07-29,2025-08-12,2025-08-10,150,142,0,218.56,227.37,True,INV-0136
PO-0137,SUP-003,Atlas Materials,Preferred,Mechanical,2025-03-23,2025-03-31,2025-03-31,100,100,0,153.04,153.94,True,INV-0137
PO-0138,SUP-002,Meridian Industrial,Strategic,MRO,2025-06-07,2025-06-14,2025-06-12,250,250,0,80.17,78.88,True,INV-0138
PO-0139,SUP-004,Vertex Packaging,Preferred,Electronics,2025-03-02,2025-03-13,2025-03-12,200,190,0,246.67,261.38,True,INV-0139
PO-0140,SUP-004,Vertex Packaging,Preferred,Electronics,2025-05-12,2025-05-28,2025-05-27,500,500,0,236.6,250.41,True,INV-0140
PO-0141,SUP-006,Pioneer Logistics,Approved,Electronics,2025-04-03,2025-04-11,2025-04-20,300,270,19,253.75,264.21,False,INV-0141
PO-0142,SUP-004,Vertex Packaging,Preferred,Packaging,2025-07-11,2025-07-18,2025-07-16,200,200,0,52.15,55.55,True,INV-0142
PO-0143,SUP-003,Atlas Materials,Preferred,Mechanical,2025-04-01,2025-04-16,2025-04-15,100,80,0,163.83,175.5,True,INV-0143
PO-0144,SUP-001,Northstar Components,Strategic,MRO,2025-03-17,2025-03-27,2025-03-26,100,100,0,81.87,82.66,True,INV-0144
PO-0145,SUP-004,Vertex Packaging,Preferred,Packaging,2025-07-12,2025-07-29,2025-07-29,100,100,0,59.02,59.79,True,INV-0145
PO-0146,SUP-004,Vertex Packaging,Preferred,MRO,2025-03-28,2025-04-06,2025-04-07,250,250,0,92.21,96.18,True,INV-0146
PO-0147,SUP-001,Northstar Components,Strategic,MRO,2025-07-30,2025-08-08,2025-08-08,300,300,0,77.86,82.98,True,INV-0147
PO-0148,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-04-24,2025-05-06,2025-05-06,500,450,0,181.44,182.15,True,INV-0148
PO-0149,SUP-001,Northstar Components,Strategic,MRO,2025-05-12,2025-05-31,2025-05-30,200,200,0,78.93,83.45,False,INV-0149
PO-0150,SUP-001,Northstar Components,Strategic,Mechanical,2025-04-04,2025-04-16,2025-04-14,500,450,0,153.56,158.47,True,INV-0150
PO-0151,SUP-001,Northstar Components,Strategic,Mechanical,2025-04-04,2025-04-17,2025-04-17,300,300,0,180.2,173.74,True,INV-0151
PO-0152,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-07-18,2025-07-29,2025-07-28,200,180,0,229.71,254.21,False,INV-0152
PO-0153,SUP-001,Northstar Components,Strategic,MRO,2025-08-19,2025-09-06,2025-09-04,150,120,0,92.95,103.9,True,INV-0153
PO-0154,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-08-06,2025-08-15,2025-08-14,200,200,0,55.1,53.97,True,INV-0154
PO-0155,SUP-004,Vertex Packaging,Preferred,Electronics,2025-05-22,2025-06-07,2025-06-06,200,180,0,258.44,250.82,True,INV-0155
PO-0156,SUP-004,Vertex Packaging,Preferred,MRO,2025-07-30,2025-08-15,2025-08-15,250,200,0,77.76,80.45,True,INV-0156
PO-0157,SUP-005,Cobalt Supply Co.,Approved,Mechanical,2025-04-21,2025-05-06,2025-05-07,150,150,0,165.6,167.03,True,INV-0157
PO-0158,SUP-002,Meridian Industrial,Strategic,Packaging,2025-08-18,2025-08-29,2025-08-29,300,300,0,56.49,59.21,True,INV-0158
PO-0159,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-06-14,2025-06-23,2025-06-22,300,300,0,247.62,266.27,True,INV-0159
PO-0160,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-01-21,2025-01-28,2025-02-07,100,100,0,247.25,267.7,True,INV-0160
PO-0161,SUP-004,Vertex Packaging,Preferred,Packaging,2025-03-19,2025-04-02,2025-04-03,500,500,0,54.49,58.31,True,INV-0161
PO-0162,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-06-05,2025-06-14,2025-06-14,200,160,0,181.1,183.86,True,INV-0162
PO-0163,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-03-03,2025-03-17,2025-03-18,200,200,0,222.76,215.65,True,INV-0163
PO-0164,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-07-28,2025-08-09,2025-08-09,150,150,0,173.68,180.58,True,INV-0164
PO-0165,SUP-003,Atlas Materials,Preferred,MRO,2025-01-24,2025-02-06,2025-02-05,100,100,0,86.42,83.64,True,INV-0165
PO-0166,SUP-006,Pioneer Logistics,Approved,MRO,2025-05-18,2025-05-25,2025-06-01,200,200,0,91.5,98.49,True,INV-0166
PO-0167,SUP-004,Vertex Packaging,Preferred,Electronics,2025-05-24,2025-06-03,2025-06-03,300,300,0,234.54,242.06,True,INV-0167
PO-0168,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-01-25,2025-02-07,2025-02-07,150,135,0,261.07,282.16,True,INV-0168
PO-0169,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-01-10,2025-01-19,2025-01-20,100,90,0,237.94,251.5,True,INV-0169
PO-0170,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-04-11,2025-04-27,2025-04-27,150,135,0,53.2,58.12,True,INV-0170
PO-0171,SUP-003,Atlas Materials,Preferred,MRO,2025-04-05,2025-04-17,2025-04-18,100,90,0,81.73,90.21,True,INV-0171
PO-0172,SUP-005,Cobalt Supply Co.,Approved,MRO,2025-06-17,2025-07-06,2025-07-16,200,180,0,80.37,77.82,True,INV-0172
PO-0173,SUP-006,Pioneer Logistics,Approved,MRO,2025-07-30,2025-08-16,2025-08-14,150,150,0,76.82,77.6,True,INV-0173
PO-0174,SUP-004,Vertex Packaging,Preferred,MRO,2025-07-06,2025-07-13,2025-07-12,500,450,0,82.03,87.44,True,INV-0174
PO-0175,SUP-002,Meridian Industrial,Strategic,MRO,2025-03-29,2025-04-13,2025-04-13,300,270,0,84.73,94.32,True,INV-0175
PO-0176,SUP-003,Atlas Materials,Preferred,Packaging,2025-02-23,2025-03-13,2025-03-13,500,475,0,53.34,59.17,True,INV-0176
PO-0177,SUP-001,Northstar Components,Strategic,MRO,2025-07-29,2025-08-10,2025-08-09,250,250,0,77.22,85.93,True,INV-0177
PO-0178,SUP-006,Pioneer Logistics,Approved,Packaging,2025-05-03,2025-05-13,2025-05-13,500,450,0,57.16,56.13,True,INV-0178
PO-0179,SUP-002,Meridian Industrial,Strategic,Electronics,2025-08-20,2025-09-04,2025-09-03,500,500,0,220.81,223.65,True,INV-0179
PO-0180,SUP-002,Meridian Industrial,Strategic,Electronics,2025-08-26,2025-09-04,2025-09-05,300,285,0,247.23,267.24,True,INV-0180
PO-0181,SUP-001,Northstar Components,Strategic,Electronics,2025-05-27,2025-06-06,2025-06-04,500,500,0,236.06,258.25,False,INV-0181
PO-0182,SUP-004,Vertex Packaging,Preferred,MRO,2025-08-28,2025-09-15,2025-09-20,150,150,0,76.66,80.56,True,INV-0182
PO-0183,SUP-003,Atlas Materials,Preferred,MRO,2025-05-20,2025-06-04,2025-06-03,500,450,0,84.46,83.69,True,INV-0183
PO-0184,SUP-004,Vertex Packaging,Preferred,Packaging,2025-02-17,2025-02-24,2025-02-24,500,450,0,56.92,56.4,True,INV-0184
PO-0185,SUP-004,Vertex Packaging,Preferred,MRO,2025-03-25,2025-04-02,2025-03-31,300,300,0,93.19,96.58,False,INV-0185
PO-0186,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-07-12,2025-07-23,2025-07-28,250,225,0,172.36,165.78,True,INV-0186
PO-0187,SUP-001,Northstar Components,Strategic,Electronics,2025-03-20,2025-03-29,2025-03-29,250,200,0,221.64,245.26,True,INV-0187
